GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jenkem,jenkem.ui,IrcConnector..anon.new Property.ValueChangeListener() {...},45,8,5,1,9,1,4,1,1,1
Jenkem,jenkem.ui,IrcConnector..anon.new Button.ClickListener() {...},63,8,1,1,9,1,2,1,1,1
Jenkem,jenkem.ui,IrcConnector..anon.new Button.ClickListener() {...},16,8,1,1,2,1,2,1,1,1
Jenkem,jenkem.ui,IrcConnector..anon.new Button.ClickListener() {...},22,8,1,1,3,1,2,1,1,1
Jenkem,jenkem.ui,IrcConnector..anon.new Button.ClickListener() {...},8,8,1,1,1,1,2,1,1,1
Jenkem,jenkem.ui,Submitter,37,608,3,3,1,59,5,20,2,20
Jenkem,jenkem.ui,Notifications,35,0,0,0,0,0,10,0,10,0
Jenkem,jenkem.ui,IrcConnector,159,874,5,7,17,85,6,26,2,24
Jenkem,jenkem.ui,Submitter..anon.new Property.ValueChangeListener() {...},22,32,3,3,2,4,3,2,0,2
Jenkem,jenkem.ui,Submitter..anon.new FieldEvents.FocusListener() {...},9,8,1,1,1,1,2,1,1,1
Jenkem,jenkem.ui,Submitter..anon.new Property.ValueChangeListener() {...},18,8,3,1,2,1,3,1,1,1
Jenkem,jenkem.ui,TabController,179,198,19,3,12,19,15,9,4,9
Jenkem,jenkem.ui,Submitter..anon.new Property.ValueChangeListener() {...},18,8,3,1,2,1,3,1,1,1
Jenkem,jenkem.ui,Submitter..anon.new Button.ClickListener() {...},12,8,1,1,1,1,2,1,1,1
Jenkem,jenkem.ui,IrcColorSetter..anonfun.new Serializable() {...},4,18,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui,IrcColorSetter..anonfun.new Serializable() {...},4,21,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui,IrcColorSetter..anon.new Property.ValueChangeListener() {...},23,46,9,3,1,6,6,2,0,2
Jenkem,jenkem.ui,IrcColorSetter..anon.new Property.ValueChangeListener() {...},13,36,2,2,1,4,2,2,0,2
Jenkem,jenkem.ui,IrcColorSetter,109,597,16,6,7,60,12,22,3,20
Jenkem,jenkem.ui,ImagePreparer..anon.new Button.ClickListener() {...},4,17,1,1,0,2,1,2,0,2
Jenkem,jenkem.ui,ImagePreparer..anon.new Property.ValueChangeListener() {...},4,35,1,1,0,3,1,2,0,2
Jenkem,jenkem.ui,ImagePreparer..anon.new CropperChangeListener() {...},4,64,1,1,0,6,1,2,0,2
Jenkem,jenkem.ui,ImagePreparer..anon.new Button.ClickListener() {...},4,43,1,1,0,7,1,2,0,2
Jenkem,jenkem.ui,ImagePreparer..anon.new FieldEvents.FocusListener() {...},4,13,1,1,0,2,1,2,0,2
Jenkem,jenkem.ui,ImagePreparer,231,1376,42,20,16,120,27,56,1,51
Jenkem,jenkem.ui,IrcColorSetter..anonfun.makeEnabled.new Serializable() {...},0,15,0,0,0,1,0,2,0,2
Jenkem,jenkem.ui,ImagePreparer..anon.new Button.ClickListener() {...},9,9,0,0,1,1,1,1,1,1
Jenkem,jenkem.ui,ImagePreparer..anon.new Button.ClickListener() {...},8,8,1,1,1,1,2,1,1,1
Jenkem,jenkem.ui,Inline,0,380,0,14,0,31,0,19,0,12
Jenkem,jenkem.ui,OutputDisplay..anon.new FieldEvents.FocusListener() {...},9,8,1,1,1,1,2,1,1,1
Jenkem,jenkem.ui,ProcSetter..anon.new Property.ValueChangeListener() {...},44,11,3,1,4,1,3,1,1,1
Jenkem,jenkem.ui,ProcSetter..anon.new Property.ValueChangeListener() {...},13,13,2,2,1,2,2,2,0,2
Jenkem,jenkem.ui,IrcConnector..anon.1..anonfun.new Serializable() {...},14,8,1,1,0,1,2,1,1,1
Jenkem,jenkem.ui,OutputDisplay,31,93,0,0,3,10,1,3,1,3
Jenkem,jenkem.ui,ProcSetter..anonfun.reset.new Serializable() {...},4,22,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui,ProcSetter,12,619,4,6,0,59,4,23,1,21
Jenkem,jenkem.ui,Inline..anon.new Button.ClickListener() {...},4,12,1,1,0,2,1,2,0,2
Jenkem,jenkem,JenkemInit,173,7,0,0,23,1,1,1,1,1
